SOW Product Name,Canonical SKU,Collection,Length,Depth,Height,Arm Height,Sit Height,Base Weight,MSRP,Allowed Option Categories
"BROOKLYN TABLE (BAR HEIGHT) 28"" x 120"" x 42""",FIN-BRK-BAR-TAB-28X120,Brooklyn,28,120,42,,,,"$4,560.00",Powder|Dekton
"BROOKLYN TABLE (BAR HEIGHT) 28"" x 72"" x 42""",FIN-BRK-BAR-TAB-28X72,Brooklyn,28,72,42,,,,"$3,360.00",Powder|Dekton
"BROOKLYN TABLE (BAR HEIGHT) 28"" x 96"" x 42""",FIN-BRK-BAR-TAB-28X96,Brooklyn,28,96,42,,,,"$3,840.00",Powder|Dekton
"BROOKLYN TABLE (BAR HEIGHT) 36"" x 120"" x 42""",FIN-BRK-BAR-TAB-36X120,Brooklyn,36,120,42,,,,"$5,160.00",Powder|Dekton
"BROOKLYN TABLE (BAR HEIGHT) 36"" x 72"" x 42""",FIN-BRK-BAR-TAB-36X72,Brooklyn,36,72,42,,,,"$3,720.00",Powder|Dekton
"BROOKLYN TABLE (BAR HEIGHT) 36"" x 96"" x 42""",FIN-BRK-BAR-TAB-36X96,Brooklyn,36,96,42,,,,"$4,440.00",Powder|Dekton
"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 72"" x 36""",FIN-BRK-CNT-TAB-28X72,Brooklyn,28,72,36,,,,"$3,480.00",
"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 120"" x 36""",FIN-BRK-CNT-TAB-28X120,Brooklyn,28,120,36,,,,"$4,320.00",
"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 72"" x 36"" (alt)",FIN-BRK-CNT-TAB-28X72,Brooklyn,28,72,36,,,,"$3,480.00",
"BROOKLYN TABLE (COUNTER HEIGHT) 28"" x 96"" x 36""",FIN-BRK-CNT-TAB-28X96,Brooklyn,28,96,36,,,,"$3,720.00",
"BROOKLYN TABLE (COUNTER HEIGHT) 36"" x 120"" x 36""",FIN-BRK-CNT-TAB-36X120,Brooklyn,36,120,36,,,,"$4,920.00",
"BROOKLYN TABLE (COUNTER HEIGHT) 36"" x 72"" x 36""",FIN-BRK-CNT-TAB-36X72,Brooklyn,36,72,36,,,,"$3,480.00",
"BROOKLYN TABLE (COUNTER HEIGHT) 36"" x 96"" x 36""",FIN-BRK-CNT-TAB-36X96,Brooklyn,36,96,36,,,,"$4,200.00",
"BROOKLYN TABLE (DINING HEIGHT) 28"" x 120"" x 30""",FIN-BRK-DIN-TAB-28X120,Brooklyn,28,120,30,,,,"$4,080.00",
"BROOKLYN TABLE (DINING HEIGHT) 28"" x 72"" x 30""",FIN-BRK-DIN-TAB-28X72,Brooklyn,28,72,30,,,,"$2,880.00",
"BROOKLYN TABLE (DINING HEIGHT) 28"" x 96"" x 30""",FIN-BRK-DIN-TAB-28X96,Brooklyn,28,96,30,,,,"$3,480.00",
"BROOKLYN TABLE (DINING HEIGHT) 36"" x 120"" x 30""",FIN-BRK-DIN-TAB-36X120,Brooklyn,36,120,30,,,,"$4,680.00",
"BROOKLYN TABLE (DINING HEIGHT) 36"" x 72"" x 30""",FIN-BRK-DIN-TAB-36X72,Brooklyn,36,72,30,,,,"$3,240.00",
"BROOKLYN TABLE (DINING HEIGHT) 36"" x 96"" x 30""",FIN-BRK-DIN-TAB-36X96,Brooklyn,36,96,30,,,,"$3,960.00",
"STAR LEG TABLE (BAR HEIGHT) 36"" x 72"" x 42""",FIN-BRK-BAR-TAB-36X72,Brooklyn,36,72,42,,,,"$4,440.00",Powder|Dekton
"STAR LEG TABLE (COUNTER HEIGHT) 36"" x 72"" x 36""",FIN-BRK-CNT-TAB-36X72,Brooklyn,36,72,36,,,,"$4,320.00",
"STAR LEG TABLE (DINING HEIGHT) 36"" x 72"" x 30""",FIN-BRK-DIN-TAB-36X72,Brooklyn,36,72,30,,,,"$4,200.00",
"WATERFALL TABLE (BAR HEIGHT) 28"" x 120"" x 42""",FIN-WFT-BAR-TAB-28X120,Waterfall,28,120,42,,,,"$7,440.00",Powder|Dekton
"WATERFALL TABLE (BAR HEIGHT) 28"" x 72"" x 42""",FIN-WFT-BAR-TAB-28X72,Waterfall,28,72,42,,,,"$6,000.00",Powder|Dekton
"WATERFALL TABLE (BAR HEIGHT) 28"" x 96"" x 42""",FIN-WFT-BAR-TAB-28X96,Waterfall,28,96,42,,,,"$6,720.00",Powder|Dekton
"WATERFALL TABLE (BAR HEIGHT) 36"" x 120"" x 42""",FIN-WFT-BAR-TAB-36X120,Waterfall,36,120,42,,,,"$7,800.00",Powder|Dekton
"WATERFALL TABLE (BAR HEIGHT) 36"" x 72"" x 42""",FIN-WFT-BAR-TAB-36X72,Waterfall,36,72,42,,,,"$6,360.00",Powder|Dekton
"WATERFALL TABLE (BAR HEIGHT) 36"" x 96"" x 42""",FIN-WFT-BAR-TAB-36X96,Waterfall,36,96,42,,,,"$7,080.00",Powder|Dekton
"WATERFALL TABLE (COUNTER HEIGHT) 28"" x 120"" x 36""",FIN-WFT-CNT-TAB-28X120,Waterfall,28,120,36,,,,"$7,200.00",
"WATERFALL TABLE (COUNTER HEIGHT) 28"" x 72"" x 36""",FIN-WFT-CNT-TAB-28X72,Waterfall,28,72,36,,,,"$5,760.00",
"WATERFALL TABLE (COUNTER HEIGHT) 28"" x 96"" x 36""",FIN-WFT-CNT-TAB-28X96,Waterfall,28,96,36,,,,"$6,480.00",
"WATERFALL TABLE (COUNTER HEIGHT) 36"" x 120"" x 36""",FIN-WFT-CNT-TAB-36X120,Waterfall,36,120,36,,,,"$7,560.00",
"WATERFALL TABLE (COUNTER HEIGHT) 36"" x 72"" x 36""",FIN-WFT-CNT-TAB-36X72,Waterfall,36,72,36,,,,"$6,120.00",
"WATERFALL TABLE (COUNTER HEIGHT) 36"" x 96"" x 36""",FIN-WFT-CNT-TAB-36X96,Waterfall,36,96,36,,,,"$6,840.00",
"WATERFALL TABLE (DINING HEIGHT) 28"" x 120"" x 30""",FIN-WFT-DIN-TAB-28X120,Waterfall,28,120,30,,,,"$6,960.00",
"WATERFALL TABLE (DINING HEIGHT) 28"" x 72"" x 30""",FIN-WFT-DIN-TAB-28X72,Waterfall,28,72,30,,,,"$5,520.00",
"WATERFALL TABLE (DINING HEIGHT) 28"" x 96"" x 30""",FIN-WFT-DIN-TAB-28X96,Waterfall,28,96,30,,,,"$6,240.00",
"WATERFALL TABLE (DINING HEIGHT) 36"" x 120"" x 30""",FIN-WFT-DIN-TAB-36X120,Waterfall,36,120,30,,,,"$7,320.00",
"WATERFALL TABLE (DINING HEIGHT) 36"" x 72"" x 30""",FIN-WFT-DIN-TAB-36X72,Waterfall,36,72,30,,,,"$5,880.00",
"WATERFALL TABLE (DINING HEIGHT) 36"" x 96"" x 30""",FIN-WFT-DIN-TAB-36X96,Waterfall,36,96,30,,,,"$6,600.00",
"DAISY BASE FIRE PIT DINING TABLE 84"" x 56"" x 30""",FIN-DAI-FIR-TAB-84X56,Daisy,84,56,30,,,,"$8,500.00",Powder|Dekton
"DAISY BASE FIRE PIT DINING TABLE 96"" x 56"" x 30""",FIN-DAI-FIR-TAB-96X56,Daisy,96,56,30,,,,"$8,800.00",Powder|Dekton
"PROPANE FIRE PIT TABLE 56"" x 42"" x 21""",FIN-DAI-FIR-TAB-56X42,Daisy,56,42,21,,,,"$6,200.00",Powder|Dekton
"PROPANE FIRE PIT TABLE 42"" x 42"" x 21""",FIN-DAI-FIR-TAB-42X42,Daisy,42,42,21,,,,"$4,800.00",Powder|Dekton
"WATERFALL FIRE PIT TABLE 56"" x 36"" x 16""",FIN-WFT-FIR-TAB-56X36,Waterfall,56,36,16,,,,"$5,980.00",Powder|Dekton
"WATERFALL FIRE PIT TABLE 72"" x 36"" x 16""",FIN-WFT-FIR-TAB-72X36,Waterfall,72,36,16,,,,"$6,980.00",Powder|Dekton
"CUBE FIRE PIT TABLE 56"" X 36"" X 16""",FIN-WFT-FIR-TAB-56X36,Waterfall,56,36,16,,,,"$7,200",Powder|Dekton
"CUBE FIRE PIT TABLE 72"" X 36"" X 16""",FIN-WFT-FIR-TAB-72X36,Waterfall,72,36,16,,,,"$8,800",Powder|Dekton
"FLY LEG BENCH (BAR HEIGHT) 42"" x 18"" x 30"" SH",FIN-WFT-BCH-42X18,Waterfall,42,18,30,,"30""",,"$1,440.00",
"FLY LEG BENCH (COUNTER HEIGHT) 42"" x 18"" x 24"" SH",FIN-WFT-BCH-42X18,Waterfall,42,18,24,,"24""",,"$1,380.00",
"HALF BACK CHAIR (DINING HEIGHT) 17"" x 21"" x 18"" SH",FIN-WFT-DIN-CHA-17X21,Waterfall,17,21,18,,18'',,$770.00,
"TAYLOR BARSTOOL w/ARMS (COUNTER HEIGHT) 24"" x 23"" x 24"" SH",FIN-TAY-BST-24X23,Taylor,24,23,24,29'',24'',,$925.00,
"TAYLOR BENCH (BAR HEIGHT) 24"" x 23"" x 42"" SH",FIN-TAY-BCH-24X23,Taylor,24,23,42,23'',18'',,"$1,980.00",
"TAYLOR BENCH (BAR HEIGHT) 72"" x 23"" x 30"" SH",FIN-TAY-BCH-72X23,Taylor,72,23,30,23'',30'',,"$2,580.00",Fabric|Powder
"TAYLOR BENCH (COUNTER HEIGHT) 42"" x 23"" x 24"" SH",FIN-TAY-BCH-42X23,Taylor,42,23,24,,24'',,"$1,860.00",
"TAYLOR BENCH (COUNTER HEIGHT) 72"" x 23"" x 24"" SH",FIN-TAY-BCH-72X23,Taylor,72,23,24,,24'',,"$2,460.00",
"TAYLOR BENCH (DINING HEIGHT) 42"" x 23"" x 18"" SH",FIN-TAY-BCH-42X23,Taylor,42,23,18,,18'',,"$1,740.00",
