Material SKU,Category (Fabric/Powder/Dekton),Material Name,Cost Per Unit,UOM,Weight
STN-DKT-TUN1.2,Dekton,TUNDRA 1.2,,slab,
STN-DKT-TUN2.0,Dekton,TUNDRA 2.0,,slab,
STN-DKT-UYU1.2,Dekton,UYUNI 1.2,,slab,
STN-DKT-VAL1.2,Dekton,VALTERRA 1.2,,slab,
STN-DKT-VAP2.0,Dekton,VAPOUR 2.0,,slab,
STN-DKT-VEG1.2,Dekton,VEGHA 1.2,,slab,
STN-DKT-VEN1.2,Dekton,VENTUS 1.2,,slab,
STN-DKT-VER1.2,Dekton,VERA 1.2,,slab,
STN-DKT-VIE2.0,Dekton,VIENNA 2.0,,slab,
STN-DKT-ZEN1.2,Dekton,ZENITH 1.2,,slab,
STN-DKT-ZEN2.0,Dekton,ZENITH 2.0,,slab,
