SOW Product Name,Canonical SKU,Collection,Length,Depth,Height,Arm Height,Sit Height,Base Weight,MSRP,Allowed Option Categories
"BRAVADA CLUB CHAIR 34"" x 34"" x 31"" BH",FIN-BRV-CLB-CHA-34X34,Bravada,34,34,31,24'',18'',,"$2,080.00",Fabric|Powder|Pillow
"BRAVADA SWIVEL CHAIR 34"" x 34"" x 31"" BH",FIN-BRV-SWV-CHA-34X34,Bravada,34,34,31,24'',18'',,"$2,580.00",Fabric|Powder|Pillow
"BRAVADA LOVESEAT 60"" x 34"" x 31"" BH",FIN-BRV-LOV-SOF-60X34,Bravada,60,34,31,24'',18'',,"$2,750.00",Fabric|Powder|Pillow
"BRAVADA MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,Bravada,48,34,31,24'',18'',,"$2,520.00",
"BRAVADA SOFA 72"" x 34"" x 31"" BH",FIN-BRV-SOF-72X34,Bravada,72,34,31,24'',18'',,"$3,360.00",Fabric|Powder|Pillow
"BRAVADA SOFA 84"" x 34"" x 31"" BH",FIN-BRV-SOF-84X34,Bravada,84,34,31,24'',18'',,"$3,840.00",Fabric|Powder|Pillow
"BRAVADA SOFA 96"" x 34"" x 31"" BH",FIN-BRV-SOF-96X34,Bravada,96,34,31,24'',18'',,"$4,080.00",Fabric|Powder|Pillow
"BRAVADA ARMLESS SOFA 72"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-72X34,Bravada,72,34,31,,,,"$2,880.00",Fabric|Powder|Pillow
"BRAVADA ARMLESS MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,Bravada,48,34,31,,,,"$2,320.00",
"BRAVADA ARMLESS SOFA 72"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-72X34,Bravada,72,34,31,,,,"$2,880.00",Fabric|Powder|Pillow
"BRAVADA ARMLESS SOFA 84"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-84X34,Bravada,84,34,31,,,,"$3,840.00",Fabric|Powder|Pillow
