Original Name,Canonical Hub SKU,MSRP
"BRAVADA COFFEE TABLE 56"" x 56"" x 17""",FIN-BRV-COF-TAB-56X56,"$4,320.00"
"OCEAN COFFEE TABLE 28"" x 56"" x 17""",FIN-OCN-COF-TAB-56X28,"$3,000.00"
"OCEAN COFFEE TABLE 36"" x 56"" x 17""",FIN-OCN-COF-TAB-56X36,"$3,240.00"
"OCEAN COFFEE TABLE 36"" x 72"" x 17""",FIN-OCN-COF-TAB-72X36,"$3,840.00"
"OCEAN COFFEE TABLE 42"" x 42"" x 17""",FIN-OCN-COF-TAB-42X42,"$3,120.00"
"OCEAN COFFEE TABLE 42"" x 56"" x 17""",FIN-OCN-COF-TAB-56X42,"$3,480.00"
"OCEAN COFFEE TABLE 56"" x 56"" x 17""",FIN-OCN-COF-TAB-56X56,"$4,560.00"
"OCEAN COFFEE TABLE 28"" x 42"" x 17""",FIN-OCN-COF-TAB-42X28,"$2,520.00"
"FLY TABLE 34"" X 12""",FIN-OCN-TAB-60X12,$650.00
"T TABLE 13"" x 30"" x 16""",FIN-OCN-TAB-13X30,$480.00
"DAISY BASE TABLE (DINING HEIGHT) 42"" x 120"" x 30""",FIN-OCN-DIN-TAB-120X42,"$6,600.00"
"DAISY BASE TABLE (DINING HEIGHT) 42"" x 72"" x 30""",FIN-OCN-DIN-TAB-72X42,"$5,040.00"
"DAISY BASE TABLE (DINING HEIGHT) 42"" x 96"" x 30""",FIN-OCN-DIN-TAB-96X42,"$5,880.00"
"DAISY BASE TABLE (DINING HEIGHT) 56"" x 120"" x 30""",FIN-OCN-DIN-TAB-120X56,"$7,080.00"
"DAISY BASE TABLE (DINING HEIGHT) 56"" x 56"" x 30""",FIN-OCN-DIN-TAB-56X56,"$4,680.00"
"STAR LEG TABLE (BAR HEIGHT) 36"" x 36"" x 42""",FIN-OCN-BAR-TAB-36X36,"$3,000.00"
"STAR LEG TABLE (BAR HEIGHT) 42"" x 42"" x 42""",FIN-OCN-BAR-TAB-42X42,"$3,120.00"
